salary;age;elevel;car;zipcode;credit;brand
123476.6418;23;4;1;0;779.56;Elago
120274.5828;22;4;1;2;784.7;Elago
121735.5422;26;4;1;1;749.35;Elago
138276.8177;23;4;1;0;743.85;Elago
126869.2463;23;4;1;0;759.03;Elago
130595.0734;22;4;1;7;774.13;Elago
121358.046;80;4;1;2;732.03;Belkin
127457.4173;71;4;1;5;744.29;Belkin
137670.5462;75;4;1;0;815;Belkin
120088.6858;59;4;1;7;740.48;Belkin
133938.7191;73;4;1;6;812.39;Belkin
118969.2367;59;4;1;6;758.98;Belkin
134270.7329;77;4;1;2;789.22;Belkin
124819.7593;58;4;1;1;750.84;Belkin
119213.681;72;4;1;5;738.66;Belkin
117555.618;77;4;1;3;741.81;Belkin
126327.7469;76;4;1;5;768.34;Belkin
134347.8464;68;4;1;7;745.42;Belkin
123493.5548;72;4;1;8;735.17;Belkin
127504.2488;47;4;1;5;776.84;Elago
117416.1721;38;4;1;4;769.52;Belkin
120280.5923;48;4;1;6;782.88;Belkin
131212.1411;52;4;1;2;780.05;Elago
120627.6033;36;4;1;2;769.76;Elago
129717.9289;30;4;1;5;801.29;Elago
137210.5139;35;4;1;8;748.14;Elago
139996.8423;52;4;1;0;813.02;Elago
139445.0215;32;4;1;8;771.56;Elago
139980.1678;42;4;1;3;737.49;Elago
128355.155;37;4;1;8;764.59;Elago
127001.8488;29;4;1;3;735.61;Elago
132864.3907;54;4;1;8;807.18;Elago
120689.9804;34;4;1;1;746.11;Elago
134369.2194;43;4;1;8;801.36;Elago
131754.8448;25;4;1;4;763.93;Elago
123515.7833;63;4;1;8;752.95;Elago
116770.8716;30;4;1;7;751.2;Elago
134783.8998;23;4;1;2;798.29;Elago
136026.7217;20;4;1;5;819.14;Elago
137735.4133;54;4;1;6;733.65;Elago
121132.7353;51;4;1;5;751.11;Belkin
135762.6318;33;4;1;8;741.08;Elago
128968.2887;71;4;1;6;784.84;Elago
130280.363;31;4;1;1;796.14;Elago
129050.4786;77;4;1;4;798.54;Elago
117185.4423;22;4;1;8;766.19;Elago
133330.183;72;4;1;6;804.53;Elago
134941.9834;56;4;1;8;744.97;Elago
127560.2551;80;4;1;5;770.35;Elago
137209.6097;71;4;1;3;787.68;Elago
117162.5333;58;4;1;4;750.26;Belkin
136765.3162;52;4;1;4;801.95;Elago
129415.2767;70;4;1;6;764.79;Elago
128532.8107;46;4;1;3;788.7;Elago
126367.8169;40;4;1;7;733.62;Elago
123029.3894;25;4;1;4;751.24;Belkin
134563.7453;55;4;1;8;788.45;Belkin
119905.8453;31;4;1;1;766.02;Belkin
134182.5134;78;4;1;2;766.35;Belkin
137680.8364;64;4;1;3;757.2;Elago
146407.0681;22;4;1;7;780.02;Elago
148759.6982;23;4;1;8;752.43;Elago
140666.1391;74;4;1;3;747.43;Belkin
